No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,动画 | Animation,Use Tailwind animate utilities,使用 Tailwind 动画工具类,Built-in animations are optimized and respect reduced-motion,内置动画已优化且遵循减少运动偏好,Use animate-pulse animate-spin animate-ping,使用 animate-pulse、animate-spin、animate-ping,Custom @keyframes for simple effects,为简单效果自定义 @keyframes,animate-pulse,animate-pulse,@keyframes pulse {...},@keyframes pulse {...},中等 | Medium,https://tailwindcss.com/docs/animation
15,图片 | Images,Responsive images,响应式图片,Serve appropriate image sizes,提供适当的图片尺寸,srcset and sizes attributes,使用 srcset 和 sizes 属性,Same large image all devices,所有设备使用相同大图,srcset with multiple sizes,srcset 提供多个尺寸,4000px image everywhere,所有地方使用 4000px 图片,高 | High,
16,排版 | Typography,Prose plugin,Prose 插件,Use @tailwindcss/typography for rich text,使用 @tailwindcss/typography 处理富文本,prose prose-lg for article content,文章内容使用 prose prose-lg,Custom styles for markdown,为 markdown 自定义样式,prose prose-lg max-w-none,prose prose-lg max-w-none,Custom text styling,自定义文本样式,中等 | Medium,https://tailwindcss.com/docs/typography-plugin
17,排版 | Typography,Line height,行高,Use appropriate line height for readability,使用适当的行高提高可读性,leading-relaxed for body text,正文使用 leading-relaxed,Default tight line height,默认紧凑行高,leading-relaxed (1.625),leading-relaxed (1.625),leading-none or leading-tight,leading-none 或 leading-tight,中等 | Medium,https://tailwindcss.com/docs/line-height
18,排版 | Typography,Font size scale,字号层级,Use consistent text size scale,使用一致的文本大小层级,text-sm text-base text-lg text-xl,使用 text-sm text-base text-lg text-xl,Arbitrary font sizes,任意字号,text-lg,text-lg,text-[17px],text-[17px],低 | Low,https://tailwindcss.com/docs/font-size
19,排版 | Typography,Text truncation,文本截断,Handle long text gracefully,优雅地处理长文本,truncate or line-clamp-*,使用 truncate 或 line-clamp-*,Overflow breaking layout,溢出破坏布局,line-clamp-2,line-clamp-2,No overflow handling,无溢出处理,中等 | Medium,https://tailwindcss.com/docs/text-overflow
20,颜色 | Colors,Opacity utilities,不透明度工具类,Use color opacity utilities,使用颜色不透明度工具类,bg-black/50 text-white/80,使用 bg-black/50 text-white/80,Separate opacity class,分离的 opacity 类,bg-black/50,bg-black/50,bg-black opacity-50,bg-black opacity-50,低 | Low,https://tailwindcss.com/docs/background-color
21,颜色 | Colors,Dark mode,深色模式,Support dark mode with dark: prefix,使用 dark: 前缀支持深色模式,dark:bg-gray-900 dark:text-white,使用 dark:bg-gray-900 dark:text-white,No dark mode support,不支持深色模式,dark:bg-gray-900,dark:bg-gray-900,Only light theme,仅浅色主题,中等 | Medium,https://tailwindcss.com/docs/dark-mode
22,颜色 | Colors,Semantic colors,语义化颜色,Use semantic color naming in config,在配置中使用语义化颜色命名,primary secondary danger success,使用 primary secondary danger success,Generic color names in components,组件中使用通用颜色名,bg-primary,bg-primary,bg-blue-500 everywhere,到处使用 bg-blue-500,中等 | Medium,
23,间距 | Spacing,Consistent spacing scale,一致的间距层级,Use Tailwind spacing scale consistently,一致使用 Tailwind 间距层级,p-4 m-6 gap-8,使用 p-4 m-6 gap-8,Arbitrary pixel values,任意像素值,p-4 (1rem),p-4 (1rem),p-[15px],p-[15px],低 | Low,https://tailwindcss.com/docs/customizing-spacing
24,间距 | Spacing,Negative margins,负边距,Use sparingly for overlapping effects,谨慎使用负边距实现重叠效果,-mt-4 for overlapping elements,重叠元素使用 -mt-4,Negative margins for layout fixing,使用负边距修复布局,-mt-8 for card overlap,卡片重叠使用 -mt-8,-m-2 to fix spacing issues,使用 -m-2 修复间距问题,中等 | Medium,
25,间距 | Spacing,Space between,之间间距,Use space-y-* for vertical lists,垂直列表使用 space-y-*,space-y-4 on flex/grid column,flex/grid 列使用 space-y-4,Margin on each child,每个子元素使用 margin,space-y-4,space-y-4,Each child has mb-4,每个子元素使用 mb-4,低 | Low,https://tailwindcss.com/docs/space
26,表单 | Forms,Focus states,焦点状态,Always show focus indicators,始终显示焦点指示器,focus:ring-2 focus:ring-blue-500,使用 focus:ring-2 focus:ring-blue-500,Remove focus outline,移除焦点轮廓,focus:ring-2 focus:ring-offset-2,focus:ring-2 focus:ring-offset-2,focus:outline-none (no replacement),focus:outline-none (无替代),高 | High,
27,表单 | Forms,Input sizing,输入框尺寸,Consistent input dimensions,一致的输入框尺寸,h-10 px-3 for inputs,输入框使用 h-10 px-3,Inconsistent input heights,不一致的输入框高度,h-10 w-full px-3,h-10 w-full px-3,Various heights per input,每个输入框不同高度,中等 | Medium,
28,表单 | Forms,Disabled states,禁用状态,Clear disabled styling,清晰的禁用样式,disabled:opacity-50 disabled:cursor-not-allowed,使用 disabled:opacity-50 disabled:cursor-not-allowed,No disabled indication,无禁用指示,disabled:opacity-50,disabled:opacity-50,Same style as enabled,与启用状态相同样式,中等 | Medium,
29,表单 | Forms,Placeholder styling,占位符样式,Style placeholder text appropriately,适当设置占位符文本样式,placeholder:text-gray-400,使用 placeholder:text-gray-400,Dark placeholder text,深色占位符文本,placeholder:text-gray-400,placeholder:text-gray-400,Default dark placeholder,默认深色占位符,低 | Low,
30,响应式 | Responsive,Mobile-first approach,移动优先方法,Start with mobile styles and add breakpoints,从移动端样式开始然后添加断点,Default mobile + md: lg: xl:,默认移动端 + md: lg: xl:,Desktop-first approach,桌面优先方法,text-sm md:text-base,text-sm md:text-base,text-base max-md:text-sm,text-base max-md:text-sm,中等 | Medium,https://tailwindcss.com/docs/responsive-design
31,响应式 | Responsive,Breakpoint testing,断点测试,Test at standard breakpoints,在标准断点测试,320 375 768 1024 1280 1536,在 320 375 768 1024 1280 1536 测试,Only test on development device,仅在开发设备测试,Test all breakpoints,测试所有断点,Single device testing,单设备测试,高 | High,
32,响应式 | Responsive,Hidden/shown utilities,隐藏/显示工具类,Control visibility per breakpoint,按断点控制可见性,hidden md:block,使用 hidden md:block,Different content per breakpoint,每个断点不同内容,hidden md:flex,hidden md:flex,Separate mobile/desktop components,分离的移动端/桌面端组件,低 | Low,https://tailwindcss.com/docs/display
33,按钮 | Buttons,Button sizing,按钮尺寸,Consistent button dimensions,一致的按钮尺寸,px-4 py-2 or px-6 py-3,使用 px-4 py-2 或 px-6 py-3,Inconsistent button sizes,不一致的按钮尺寸,px-4 py-2 text-sm,px-4 py-2 text-sm,Various padding per button,每个按钮不同内边距,中等 | Medium,
34,按钮 | Buttons,Touch targets,触摸目标,Minimum 44px touch target on mobile,移动端最小 44px 触摸目标,min-h-[44px] on mobile,移动端使用 min-h-[44px],Small buttons on mobile,移动端小按钮,min-h-[44px] min-w-[44px],min-h-[44px] min-w-[44px],h-8 w-8 on mobile,移动端 h-8 w-8,高 | High,
35,按钮 | Buttons,Loading states,加载状态,Show loading feedback,显示加载反馈,disabled + spinner icon,使用 disabled + 加载图标,Clickable during loading,加载时可点击,<Button disabled><Spinner/></Button>,<Button disabled><Spinner/></Button>,Button without loading state,按钮无加载状态,高 | High,
36,按钮 | Buttons,Icon buttons,图标按钮,Accessible icon-only buttons,可访问的纯图标按钮,aria-label on icon buttons,图标按钮使用 aria-label,Icon button without label,图标按钮无标签,<button aria-label='Close'><XIcon/></button>,<button aria-label='Close'><XIcon/></button>,<button><XIcon/></button>,<button><XIcon/></button>,高 | High,
37,卡片 | Cards,Card structure,卡片结构,Consistent card styling,一致的卡片样式,rounded-lg shadow-md p-6,使用 rounded-lg shadow-md p-6,Inconsistent card styles,不一致的卡片样式,rounded-2xl shadow-lg p-6,rounded-2xl shadow-lg p-6,Mixed card styling,混合卡片样式,低 | Low,
38,卡片 | Cards,Card hover states,卡片 hover 状态,Interactive cards should have hover feedback,可交互卡片应有 hover 反馈,hover:shadow-lg transition-shadow,使用 hover:shadow-lg transition-shadow,No hover on clickable cards,可点击卡片无 hover,hover:shadow-xl transition-shadow,hover:shadow-xl transition-shadow,Static cards that are clickable,可点击的静态卡片,中等 | Medium,
39,卡片 | Cards,Card spacing,卡片间距,Consistent internal card spacing,一致的卡片内部间距,space-y-4 for card content,卡片内容使用 space-y-4,Inconsistent internal spacing,不一致的内部间距,space-y-4 or p-6,space-y-4 或 p-6,Mixed mb-2 mb-4 mb-6,混合 mb-2 mb-4 mb-6,低 | Low,
40,无障碍 | Accessibility,Screen reader text,屏幕阅读器文本,Provide context for screen readers,为屏幕阅读器提供上下文,sr-only for hidden labels,隐藏标签使用 sr-only,Missing context for icons,图标缺少上下文,<span class='sr-only'>Close menu</span>,<span class='sr-only'>关闭菜单</span>,No label for icon button,图标按钮无标签,高 | High,https://tailwindcss.com/docs/screen-readers
41,无障碍 | Accessibility,Focus visible,焦点可见,Show focus only for keyboard users,仅为键盘用户显示焦点,focus-visible:ring-2,使用 focus-visible:ring-2,Focus on all interactions,所有交互显示焦点,focus-visible:ring-2,focus-visible:ring-2,focus:ring-2 (shows on click too),focus:ring-2 (点击也显示),中等 | Medium,
42,无障碍 | Accessibility,Reduced motion,减少运动,Respect user motion preferences,尊重用户运动偏好,motion-reduce:animate-none,使用 motion-reduce:animate-none,Ignore motion preferences,忽略运动偏好,motion-reduce:transition-none,motion-reduce:transition-none,No reduced motion support,不支持减少运动,高 | High,https://tailwindcss.com/docs/hover-focus-and-other-states#prefers-reduced-motion
43,性能 | Performance,Configure content paths,配置内容路径,Tailwind needs to know where classes are used,Tailwind 需要知道类在哪里使用,Use 'content' array in config,在配置中使用 'content' 数组,Use deprecated 'purge' option (v2),使用已废弃的 'purge' 选项 (v2),"content: ['./src/**/*.{js,ts,jsx,tsx}']","content: ['./src/**/*.{js,ts,jsx,tsx}']",purge: [...],purge: [...],高 | High,https://tailwindcss.com/docs/content-configuration
44,性能 | Performance,JIT mode,JIT 模式,Use JIT for faster builds and smaller bundles,使用 JIT 获得更快构建和更小bundle,JIT enabled (default in v3),JIT 已启用 (v3 默认),Full CSS in development,开发环境全量 CSS,Tailwind v3 defaults,Tailwind v3 默认,Tailwind v2 without JIT,Tailwind v2 无 JIT,中等 | Medium,
45,性能 | Performance,Avoid @apply bloat,避免 @apply 膨胀,Use @apply sparingly,谨慎使用 @apply,Direct utilities in HTML,在 HTML 中直接使用工具类,Heavy @apply usage,大量使用 @apply,class='px-4 py-2 rounded',class='px-4 py-2 rounded',@apply px-4 py-2 rounded;,@apply px-4 py-2 rounded;,低 | Low,https://tailwindcss.com/docs/reusing-styles
46,插件 | Plugins,Official plugins,官方插件,Use official Tailwind plugins,使用官方 Tailwind 插件,@tailwindcss/forms typography aspect-ratio,使用 @tailwindcss/forms typography aspect-ratio,Custom implementations,自定义实现,@tailwindcss/forms,@tailwindcss/forms,Custom form reset CSS,自定义表单重置 CSS,中等 | Medium,https://tailwindcss.com/docs/plugins
47,插件 | Plugins,Custom utilities,自定义工具类,Create utilities for repeated patterns,为重复模式创建工具类,Custom utility in config,在配置中创建自定义工具类,Repeated arbitrary values,重复的任意值,Custom shadow utility,自定义阴影工具类,"shadow-[0_4px_20px_rgba(0,0,0,0.1)] everywhere",到处使用 shadow-[0_4px_20px_rgba(0,0,0,0.1)],中等 | Medium,
48,布局 | Layout,Container Queries,容器查询,Use @container for component-based responsiveness,使用 @container 实现基于组件的响应式,Use @container and @lg: etc.,使用 @container 和 @lg: 等,Media queries for component internals,组件内部使用媒体查询,@container @lg:grid-cols-2,@container @lg:grid-cols-2,@media (min-width: ...) inside component,组件内部使用 @media (min-width: ...),中等 | Medium,https://github.com/tailwindlabs/tailwindcss-container-queries
49,交互 | Interactivity,Group and Peer,Group 和 Peer,Style based on parent/sibling state,基于父级/兄弟元素状态设置样式,group-hover peer-checked,使用 group-hover peer-checked,JS for simple state interactions,简单状态交互使用 JS,group-hover:text-blue-500,group-hover:text-blue-500,onMouseEnter={() => setHover(true)},onMouseEnter(() => setHover(true)),低 | Low,https://tailwindcss.com/docs/hover-focus-and-other-states#styling-based-on-parent-state
50,自定义 | Customization,Arbitrary Values,任意值,Use [] for one-off values,一次性值使用 [],w-[350px] for specific needs,特定需求使用 w-[350px],Creating config for single use,为单次使用创建配置,top-[117px] (if strictly needed),top-[117px] (如严格需要),"style={{ top: '117px' }}","style={{ top: '117px' }}",低 | Low,https://tailwindcss.com/docs/adding-custom-styles#using-arbitrary-values
51,颜色 | Colors,Theme color variables,主题颜色变量,Define colors in Tailwind theme and use directly,在 Tailwind 主题中定义颜色并直接使用,bg-primary text-success border-cta,使用 bg-primary text-success border-cta,bg-[var(--color-primary)] text-[var(--color-success)],使用 bg-[var(--color-primary)] text-[var(--color-success)],bg-primary,bg-primary,bg-[var(--color-primary)],bg-[var(--color-primary)],中等 | Medium,https://tailwindcss.com/docs/customizing-colors
52,颜色 | Colors,Use bg-linear-to-* for gradients,渐变使用 bg-linear-to-*,Tailwind v4 uses bg-linear-to-* syntax for gradients,Tailwind v4 使用 bg-linear-to-* 语法实现渐变,bg-linear-to-r bg-linear-to-b,使用 bg-linear-to-r bg-linear-to-b,bg-gradient-to-* (deprecated in v4),bg-gradient-to-* (v4 已废弃),bg-linear-to-r from-blue-500 to-purple-500,bg-linear-to-r from-blue-500 to-purple-500,bg-gradient-to-r from-blue-500 to-purple-500,bg-gradient-to-r from-blue-500 to-purple-500,中等 | Medium,https://tailwindcss.com/docs/background-image
53,布局 | Layout,Use shrink-0 shorthand,使用 shrink-0 简写,Shorter class name for flex-shrink-0,flex-shrink-0 的更短类名,shrink-0 shrink,使用 shrink-0 shrink,flex-shrink-0 flex-shrink,使用 flex-shrink-0 flex-shrink,shrink-0,shrink-0,flex-shrink-0,flex-shrink-0,低 | Low,https://tailwindcss.com/docs/flex-shrink
54,布局 | Layout,Use size-* for square dimensions,正方形尺寸使用 size-*,Single utility for equal width and height,等宽高使用单一工具类,size-4 size-8 size-12,使用 size-4 size-8 size-12,Separate h-* w-* for squares,正方形分别使用 h-* w-*,size-6,size-6,h-6 w-6,h-6 w-6,低 | Low,https://tailwindcss.com/docs/size
55,图片 | Images,SVG explicit dimensions,SVG 显式尺寸,Add width/height attributes to SVGs to prevent layout shift before CSS loads,为 SVG 添加 width/height 属性以防止 CSS 加载前布局偏移,<svg class='size-6' width='24' height='24'>,使用 <svg class='size-6' width='24' height='24'>,SVG without explicit dimensions,SVG 无显式尺寸,<svg class='size-6' width='24' height='24'>,<svg class='size-6' width='24' height='24'>,<svg class='size-6'>,<svg class='size-6'>,高 | High,
