No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
31,状态 | State,Use storeToRefs for destructuring,解构使用 storeToRefs,Maintain reactivity when destructuring,解构时保持响应式,storeToRefs(store),使用 storeToRefs(store),Direct destructuring,直接解构,const { count } = storeToRefs(store),const { count } = storeToRefs(store),const { count } = store,const { count } = store,高 | High,https://pinia.vuejs.org/core-concepts/#destructuring-from-a-store
32,路由 | Routing,Use useRouter and useRoute,使用 useRouter 和 useRoute,Composition API router access,组合式 API 路由访问,useRouter() useRoute() in setup,setup 中使用 useRouter() useRoute(),this.$router this.$route,this.$router this.$route,const router = useRouter(),const router = useRouter(),this.$router.push(),this.$router.push(),中等 | Medium,https://router.vuejs.org/guide/advanced/composition-api.html
33,路由 | Routing,Lazy load route components,懒加载路由组件,Code splitting for routes,路由代码分割,() => import() for components,组件使用 () => import(),Static imports for all routes,所有路由静态导入,component: () => import('./Page.vue'),component: () => import('./Page.vue'),component: Page,component: Page,中等 | Medium,https://router.vuejs.org/guide/advanced/lazy-loading.html
34,路由 | Routing,Use navigation guards,使用导航守卫,Protect routes and handle redirects,保护路由和处理重定向,beforeEach for auth checks,认证检查使用 beforeEach,Check auth in each component,每个组件检查认证,router.beforeEach((to) => {}),router.beforeEach((to) => {}),Check auth in onMounted,在 onMounted 中检查认证,中等 | Medium,
35,性能 | Performance,Use v-once for static content,静态内容使用 v-once,Skip re-renders for static elements,跳过静态元素重新渲染,v-once on never-changing content,永不改变的内容使用 v-once,v-once on dynamic content,动态内容使用 v-once,<div v-once>{{ staticText }}</div>,<div v-once>{{ staticText }}</div>,<div v-once>{{ dynamicText }}</div>,<div v-once>{{ dynamicText }}</div>,低 | Low,https://vuejs.org/api/built-in-directives.html#v-once
36,性能 | Performance,Use v-memo for expensive lists,昂贵列表使用 v-memo,Memoize list items,记忆化列表项,v-memo with dependency array,v-memo 配合依赖数组,Re-render entire list always,总是重新渲染整个列表,"<div v-for v-memo=""[item.id]"">","<div v-for v-memo=""[item.id]"">",<div v-for> without memo,<div v-for> 无 memo,中等 | Medium,https://vuejs.org/api/built-in-directives.html#v-memo
37,性能 | Performance,Use shallowReactive for flat objects,扁平对象使用 shallowReactive,Avoid deep reactivity overhead,避免深层响应式开销,shallowReactive for flat state,扁平状态使用 shallowReactive,reactive for simple objects,简单对象使用 reactive,shallowReactive({ count: 0 }),shallowReactive({ count: 0 }),reactive({ count: 0 }),reactive({ count: 0 }),低 | Low,
38,性能 | Performance,Use defineAsyncComponent,使用 defineAsyncComponent,Lazy load heavy components,懒加载重型组件,defineAsyncComponent for modals dialogs,模态框和对话框使用 defineAsyncComponent,Import all components eagerly,急切导入所有组件,defineAsyncComponent(() => import()),defineAsyncComponent(() => import()),import HeavyComponent from,import HeavyComponent from,中等 | Medium,https://vuejs.org/guide/components/async.html
39,TypeScript,Use generic components,使用泛型组件,Type-safe reusable components,类型安全的可重用组件,Generic with defineComponent,defineComponent 配合泛型,Any types in components,组件中使用 any 类型,"<script setup lang=""ts"" generic=""T"">","<script setup lang=""ts"" generic=""T"">",<script setup> without types,<script setup> 无类型,中等 | Medium,https://vuejs.org/guide/typescript/composition-api.html
40,TypeScript,Type template refs,类型化模板 refs,Proper typing for DOM refs,DOM refs 正确类型,ref<HTMLInputElement>(null),ref<HTMLInputElement>(null),ref(null) without type,ref(null) 无类型,const input = ref<HTMLInputElement>(null),const input = ref<HTMLInputElement>(null),const input = ref(null),const input = ref(null),中等 | Medium,
41,TypeScript,Use PropType for complex props,复杂 props 使用 PropType,Type complex prop types,类型化复杂 prop 类型,PropType<User> for object props,对象 props 使用 PropType<User>,Object without type,对象无类型,type: Object as PropType<User>,type: Object as PropType<User>,type: Object,type: Object,中等 | Medium,
42,测试 | Testing,Use Vue Test Utils,使用 Vue Test Utils,Official testing library,官方测试库,mount shallowMount for components,组件使用 mount shallowMount,Manual DOM testing,手动 DOM 测试,import { mount } from '@vue/test-utils',import { mount } from '@vue/test-utils',document.createElement,document.createElement,中等 | Medium,https://test-utils.vuejs.org/
43,测试 | Testing,Test component behavior,测试组件行为,Focus on inputs and outputs,关注输入和输出,Test props emit and rendered output,测试 props、emit 和渲染输出,Test internal implementation,测试内部实现,expect(wrapper.text()).toContain(),expect(wrapper.text()).toContain(),expect(wrapper.vm.internalState),expect(wrapper.vm.internalState),中等 | Medium,
44,表单 | Forms,Use v-model modifiers,使用 v-model 修饰符,Built-in input handling,内置输入处理,.lazy .number .trim modifiers,.lazy .number .trim 修饰符,Manual input parsing,手动输入解析,"<input v-model.number=""age"">","<input v-model.number=""age"">","<input v-model=""age""> then parse","<input v-model=""age""> 然后解析",低 | Low,https://vuejs.org/guide/essentials/forms.html#modifiers
45,表单 | Forms,Use VeeValidate or FormKit,使用 VeeValidate 或 FormKit,Form validation libraries,表单验证库,VeeValidate for complex forms,复杂表单使用 VeeValidate,Manual validation logic,手动验证逻辑,useField useForm from vee-validate,vee-validate 的 useField useForm,Custom validation in each input,每个输入自定义验证,中等 | Medium,
46,无障碍 | Accessibility,Use semantic elements,使用语义化元素,Proper HTML elements in templates,模板中使用正确的 HTML 元素,button nav main for purpose,按用途使用 button nav main,div for everything,所有地方使用 div,<button @click>,<button @click>,<div @click>,<div @click>,高 | High,
47,无障碍 | Accessibility,Bind aria attributes dynamically,动态绑定 aria 属性,Keep ARIA in sync with state,保持 ARIA 与状态同步,":aria-expanded=""isOpen""",":aria-expanded=""isOpen""",Static ARIA values,静态 ARIA 值,":aria-expanded=""menuOpen""",":aria-expanded=""menuOpen""","aria-expanded=""true""","aria-expanded=""true""",中等 | Medium,
48,SSR,Use Nuxt for SSR,SSR 使用 Nuxt,Full-featured SSR framework,全功能 SSR 框架,Nuxt 3 for SSR apps,SSR 应用使用 Nuxt 3,Manual SSR setup,手动 SSR 设置,npx nuxi init my-app,npx nuxi init my-app,Custom SSR configuration,自定义 SSR 配置,中等 | Medium,https://nuxt.com/
49,SSR,Handle hydration mismatches,处理水合不匹配,Client/server content must match,客户端/服务端内容必须匹配,ClientOnly for browser-only content,仅浏览器内容使用 ClientOnly,Different content server/client,服务端/客户端内容不同,<ClientOnly><BrowserWidget/></ClientOnly>,<ClientOnly><BrowserWidget/></ClientOnly>,<div>{{ Date.now() }}</div>,<div>{{ Date.now() }}</div>,高 | High,
