No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
11,对话框 | Dialog,Use Dialog for modal content,模态内容使用 Dialog,Dialog component for overlay modal windows,覆盖模态窗口使用 Dialog 组件,Dialog for confirmations forms details,确认、表单、详情使用 Dialog,Alert for modal content,模态内容使用 Alert,<Dialog><DialogContent>,<Dialog><DialogContent>,<Alert> styled as modal,<Alert> 样式为模态,高 | High,https://ui.shadcn.com/docs/components/dialog
12,对话框 | Dialog,Handle dialog state properly,正确处理对话框状态,Use open and onOpenChange for controlled dialogs,受控对话框使用 open 和 onOpenChange,Controlled state with useState,使用 useState 控制状态,Uncontrolled with default open only,仅使用 default open 非受控,"<Dialog open={open} onOpenChange={setOpen}>","<Dialog open={open} onOpenChange={setOpen}>","<Dialog defaultOpen={true}>","<Dialog defaultOpen={true}>",中等 | Medium,https://ui.shadcn.com/docs/components/dialog
13,对话框 | Dialog,Include proper dialog structure,包含正确的对话框结构,Use DialogHeader DialogTitle DialogDescription,使用 DialogHeader DialogTitle DialogDescription,Complete semantic structure,完整的语义结构,Missing title or description,缺少标题或描述,<DialogHeader><DialogTitle><DialogDescription>,<DialogHeader><DialogTitle><DialogDescription>,<DialogContent><p>Content</p></DialogContent>,<DialogContent><p>Content</p></DialogContent>,高 | High,https://ui.shadcn.com/docs/components/dialog
14,侧边栏 | Sheet,Use Sheet for side panels,侧边面板使用 Sheet,Sheet component for slide-out panels and drawers,滑出面板和抽屉使用 Sheet 组件,Sheet for navigation filters settings,导航、过滤、设置使用 Sheet,Dialog for side content,侧边内容使用 Dialog,<Sheet side="right">,<Sheet side="right">,<Dialog> with slide animation,<Dialog> 带滑动动画,中等 | Medium,https://ui.shadcn.com/docs/components/sheet
15,侧边栏 | Sheet,Specify sheet side,指定 sheet 侧边,Set side prop for sheet slide direction,设置 side 属性指定 sheet 滑动方向,Explicit side="left" or side="right",明确 side="left" 或 side="right",Default side without consideration,不考虑默认侧边,<Sheet><SheetContent side="left">,<Sheet><SheetContent side="left">,<Sheet><SheetContent>,<Sheet><SheetContent>,低 | Low,https://ui.shadcn.com/docs/components/sheet
16,表单 | Form,Use Form with react-hook-form,配合 react-hook-form 使用 Form,Integrate Form component with react-hook-form for validation,Form 组件与 react-hook-form 集成实现验证,useForm + Form + FormField pattern,useForm + Form + FormField 模式,Custom form handling without Form,不使用 Form 自定义表单处理,<Form {...form}><FormField control={form.control}>,<Form {...form}><FormField control={form.control}>,<form onSubmit={handleSubmit}>,<form onSubmit={handleSubmit}>,高 | High,https://ui.shadcn.com/docs/components/form
17,表单 | Form,Use FormField for inputs,输入使用 FormField,Wrap inputs in FormField for proper labeling and errors,输入包装在 FormField 中实现正确的标签和错误,FormField + FormItem + FormLabel + FormControl,FormField + FormItem + FormLabel + FormControl,Input without FormField wrapper,输入无 FormField 包装,<FormField><FormItem><FormLabel><FormControl><Input>,<FormField><FormItem><FormLabel><FormControl><Input>,<Input onChange={...}>,<Input onChange={...}>,高 | High,https://ui.shadcn.com/docs/components/form
18,表单 | Form,Display form messages,显示表单消息,Use FormMessage for validation error display,使用 FormMessage 显示验证错误,FormMessage after FormControl,FormControl 后使用 FormMessage,Custom error text without FormMessage,不使用 FormMessage 自定义错误文本,<FormControl><Input/></FormControl><FormMessage/>,<FormControl><Input/></FormControl><FormMessage/>,<Input/>{error && <span>{error}</span>},<Input/>{error && <span>{error}</span>},中等 | Medium,https://ui.shadcn.com/docs/components/form
19,表单 | Form,Use Zod for validation,验证使用 Zod,Define form schema with Zod for type-safe validation,使用 Zod 定义表单模式实现类型安全验证,zodResolver with form schema,zodResolver 配合表单模式,Manual validation logic,手动验证逻辑,zodResolver(formSchema),zodResolver(formSchema),"validate: (values) => { if (!values.email) }","validate: (values) => { if (!values.email) }",中等 | Medium,https://ui.shadcn.com/docs/components/form
20,选择器 | Select,Use Select for dropdowns,下拉菜单使用 Select,Select component for option selection,选项选择使用 Select 组件,Select for choosing from list,从列表选择使用 Select,Native select element,原生 select 元素,<Select><SelectTrigger><SelectContent>,<Select><SelectTrigger><SelectContent>,<select><option>,<select><option>,中等 | Medium,https://ui.shadcn.com/docs/components/select
21,选择器 | Select,Structure Select properly,正确构建 Select,Include Trigger Value Content and Items,包含 Trigger Value Content 和 Items,Complete Select structure,完整的 Select 结构,Missing SelectValue or SelectContent,缺少 SelectValue 或 SelectContent,<SelectTrigger><SelectValue/></SelectTrigger><SelectContent><SelectItem>,<SelectTrigger><SelectValue/></SelectTrigger><SelectContent><SelectItem>,<Select><option>,<Select><option>,高 | High,https://ui.shadcn.com/docs/components/select
22,命令 | Command,Use Command for search,搜索使用 Command,Command component for searchable lists and palettes,可搜索列表和面板使用 Command 组件,Command for command palette search,命令面板搜索使用 Command,Input with custom dropdown,Input 配合自定义下拉,<Command><CommandInput><CommandList>,<Command><CommandInput><CommandList>,<Input><div className="dropdown">,<Input><div className="dropdown">,中等 | Medium,https://ui.shadcn.com/docs/components/command
23,命令 | Command,Group command items,分组命令项,Use CommandGroup for categorized items,分类项使用 CommandGroup,CommandGroup with heading for sections,区块使用 CommandGroup 配合标题,Flat list without grouping,无分组扁平列表,<CommandGroup heading="Suggestions"><CommandItem>,<CommandGroup heading="Suggestions"><CommandItem>,<CommandItem> without groups,<CommandItem> 无分组,低 | Low,https://ui.shadcn.com/docs/components/command
24,表格 | Table,Use Table for data display,数据展示使用 Table,Table component for structured data,结构化数据使用 Table 组件,Table for tabular data display,表格数据展示使用 Table,Div grid for table-like layouts,表格布局使用 div grid,<Table><TableHeader><TableBody><TableRow>,<Table><TableHeader><TableBody><TableRow>,<div className="grid">,<div className="grid">,中等 | Medium,https://ui.shadcn.com/docs/components/table
25,表格 | Table,Include proper table structure,包含正确的表格结构,Use TableHeader TableBody TableRow TableCell,使用 TableHeader TableBody TableRow TableCell,Semantic table structure,语义化表格结构,Missing thead or tbody,缺少 thead 或 tbody,<TableHeader><TableRow><TableHead>,<TableHeader><TableRow><TableHead>,<Table><TableRow> without header,<Table><TableRow> 无 header,高 | High,https://ui.shadcn.com/docs/components/table
26,数据表格 | DataTable,Use DataTable for complex tables,复杂表格使用 DataTable,Combine Table with TanStack Table for features,Table 结合 TanStack Table 实现功能,DataTable pattern for sorting filtering pagination,排序过滤分页使用 DataTable 模式,Custom table implementation,自定义表格实现,useReactTable + Table components,useReactTable + Table components,Custom sort filter pagination logic,自定义排序过滤分页逻辑,中等 | Medium,https://ui.shadcn.com/docs/components/data-table
27,选项卡 | Tabs,Use Tabs for content switching,内容切换使用 Tabs,Tabs component for tabbed interfaces,选项卡界面使用 Tabs 组件,Tabs for related content sections,相关内容区块使用 Tabs,Custom tab implementation,自定义选项卡实现,<Tabs><TabsList><TabsTrigger><TabsContent>,<Tabs><TabsList><TabsTrigger><TabsContent>,<div onClick={() => setTab(...)},<div onClick={() => setTab(...)},中等 | Medium,https://ui.shadcn.com/docs/components/tabs
28,选项卡 | Tabs,Set default tab value,设置默认选项卡值,Specify defaultValue for initial tab,指定 defaultValue 设置初始选项卡,defaultValue on Tabs component,Tabs 组件使用 defaultValue,No default leaving first tab,无默认值留在第一个选项卡,<Tabs defaultValue="account">,<Tabs defaultValue="account">,<Tabs> without defaultValue,<Tabs> 无 defaultValue,低 | Low,https://ui.shadcn.com/docs/components/tabs
29,手风琴 | Accordion,Use Accordion for collapsible,可折叠使用 Accordion,Accordion for expandable content sections,可展开内容区块使用 Accordion,Accordion for FAQ settings panels,FAQ 设置面板使用 Accordion,Custom collapse implementation,自定义折叠实现,<Accordion><AccordionItem><AccordionTrigger>,<Accordion><AccordionItem><AccordionTrigger>,<div onClick={() => setOpen(!open)}>,<div onClick={() => setOpen(!open)}>,中等 | Medium,https://ui.shadcn.com/docs/components/accordion
30,手风琴 | Accordion,Choose accordion type,选择手风琴类型,Use type="single" or type="multiple" appropriately,适当使用 type="single" 或 type="multiple",type="single" for one open type="multiple" for many,一个打开用 type="single" 多个用 type="multiple",Default type without consideration,不考虑默认类型,<Accordion type="single" collapsible>,<Accordion type="single" collapsible>,<Accordion> without type,<Accordion> 无 type,低 | Low,https://ui.shadcn.com/docs/components/accordion
31,提示 | Toast,Use Sonner for toasts,提示使用 Sonner,Sonner integration for toast notifications,Toast 通知使用 Sonner 集成,toast() from sonner for notifications,通知使用 sonner 的 toast(),Custom toast implementation,自定义 toast 实现,toast("Event created"),toast("Event created"),setShowToast(true),setShowToast(true),中等 | Medium,https://ui.shadcn.com/docs/components/sonner
32,提示 | Toast,Add Toaster to layout,布局添加 Toaster,Include Toaster component in root layout,根布局中包含 Toaster 组件,<Toaster /> in app layout,应用布局中使用 <Toaster />,Toaster in individual pages,各个页面中使用 Toaster,app/layout.tsx: <Toaster />,app/layout.tsx: <Toaster />,page.tsx: <Toaster />,page.tsx: <Toaster />,高 | High,https://ui.shadcn.com/docs/components/sonner
33,提示 | Toast,Use toast variants,使用 toast 变体,Apply toast.success toast.error for context,上下文使用 toast.success toast.error,Semantic toast methods,语义化 toast 方法,Generic toast for all messages,所有消息使用通用 toast,toast.success("Saved!") toast.error("Failed"),toast.success("Saved!") toast.error("Failed"),toast("Saved!") toast("Failed"),toast("Saved!") toast("Failed"),中等 | Medium,https://ui.shadcn.com/docs/components/sonner
34,弹出框 | Popover,Use Popover for floating content,浮动内容使用 Popover,Popover for dropdown menus and floating panels,下拉菜单和浮动面板使用 Popover,Popover for contextual actions,上下文操作使用 Popover,Absolute positioned divs,绝对定位 divs,<Popover><PopoverTrigger><PopoverContent>,<Popover><PopoverTrigger><PopoverContent>,<div className="relative"><div className="absolute">,<div className="relative"><div className="absolute">,中等 | Medium,https://ui.shadcn.com/docs/components/popover
35,弹出框 | Popover,Handle popover alignment,处理弹出框对齐,Use align and side props for positioning,定位使用 align 和 side 属性,Explicit alignment configuration,明确对齐配置,Default alignment for all,所有使用默认对齐,<PopoverContent align="start" side="bottom">,<PopoverContent align="start" side="bottom">,<PopoverContent>,<PopoverContent>,低 | Low,https://ui.shadcn.com/docs/components/popover
36,下拉菜单 | DropdownMenu,Use DropdownMenu for actions,操作使用 DropdownMenu,DropdownMenu for action lists and context menus,操作列表和上下文菜单使用 DropdownMenu,DropdownMenu for user menu actions,用户菜单操作使用 DropdownMenu,Popover for action lists,操作列表使用 Popover,<DropdownMenu><DropdownMenuTrigger><DropdownMenuContent>,<DropdownMenu><DropdownMenuTrigger><DropdownMenuContent>,<Popover> for menu actions,菜单操作使用 <Popover>,中等 | Medium,https://ui.shadcn.com/docs/components/dropdown-menu
37,下拉菜单 | DropdownMenu,Group menu items,分组菜单项,Use DropdownMenuGroup and DropdownMenuSeparator,使用 DropdownMenuGroup 和 DropdownMenuSeparator,Organized menu with separators,使用分隔符组织菜单,Flat list of items,扁平列表项,<DropdownMenuGroup><DropdownMenuItem><DropdownMenuSeparator>,<DropdownMenuGroup><DropdownMenuItem><DropdownMenuSeparator>,<DropdownMenuItem> without organization,<DropdownMenuItem> 无组织,低 | Low,https://ui.shadcn.com/docs/components/dropdown-menu
38,工具提示 | Tooltip,Use Tooltip for hints,提示使用 Tooltip,Tooltip for icon buttons and truncated text,图标按钮和截断文本使用 Tooltip,Tooltip for additional context,额外上下文使用 Tooltip,Title attribute for tooltips,提示使用 title 属性,<Tooltip><TooltipTrigger><TooltipContent>,<Tooltip><TooltipTrigger><TooltipContent>,<button title="Delete">,<button title="Delete">,中等 | Medium,https://ui.shadcn.com/docs/components/tooltip
39,工具提示 | Tooltip,Add TooltipProvider,添加 TooltipProvider,Wrap app or section in TooltipProvider,应用或区块包装在 TooltipProvider 中,TooltipProvider at app level,应用级别使用 TooltipProvider,TooltipProvider per tooltip,每个 tooltip 使用 TooltipProvider,<TooltipProvider><App/></TooltipProvider>,<TooltipProvider><App/></TooltipProvider>,<Tooltip><TooltipProvider>,<Tooltip><TooltipProvider>,高 | High,https://ui.shadcn.com/docs/components/tooltip
40,骨架屏 | Skeleton,Use Skeleton for loading,加载使用 Skeleton,Skeleton component for loading placeholders,加载占位符使用 Skeleton 组件,Skeleton matching content layout,Skeleton 匹配内容布局,Spinner for content loading,内容加载使用加载器,<Skeleton className="h-4 w-[200px]"/>,<Skeleton className="h-4 w-[200px]"/>,<Spinner/> for card loading,卡片加载使用 <Spinner/>,中等 | Medium,https://ui.shadcn.com/docs/components/skeleton
41,骨架屏 | Skeleton,Match skeleton dimensions,匹配骨架屏尺寸,Size skeleton to match loaded content,骨架屏尺寸匹配加载内容,Skeleton same size as expected content,Skeleton 与预期内容相同尺寸,Generic skeleton size,通用骨架屏尺寸,<Skeleton className="h-12 w-12 rounded-full"/>,<Skeleton className="h-12 w-12 rounded-full"/>,<Skeleton/> without sizing,<Skeleton/> 无尺寸,中等 | Medium,https://ui.shadcn.com/docs/components/skeleton
42,警告对话框 | AlertDialog,Use AlertDialog for confirms,确认使用 AlertDialog,AlertDialog for destructive action confirmation,破坏性操作确认使用 AlertDialog,AlertDialog for delete confirmations,删除确认使用 AlertDialog,Dialog for confirmations,确认使用 Dialog,<AlertDialog><AlertDialogTrigger><AlertDialogContent>,<AlertDialog><AlertDialogTrigger><AlertDialogContent>,<Dialog> for delete confirmation,删除确认使用 <Dialog>,高 | High,https://ui.shadcn.com/docs/components/alert-dialog
43,警告对话框 | AlertDialog,Include action buttons,包含操作按钮,Use AlertDialogAction and AlertDialogCancel,使用 AlertDialogAction 和 AlertDialogCancel,Standard confirm/cancel pattern,标准确认/取消模式,Custom buttons in AlertDialog,AlertDialog 中自定义按钮,<AlertDialogCancel>Cancel</AlertDialogCancel><AlertDialogAction>,<AlertDialogCancel>Cancel</AlertDialogCancel><AlertDialogAction>,<Button>Cancel</Button><Button>Confirm</Button>,<Button>Cancel</Button><Button>Confirm</Button>,中等 | Medium,https://ui.shadcn.com/docs/components/alert-dialog
44,侧边导航 | Sidebar,Use Sidebar for navigation,导航使用 Sidebar,Sidebar component for app navigation,应用导航使用 Sidebar 组件,Sidebar for main app navigation,主应用导航使用 Sidebar,Custom sidebar implementation,自定义侧边栏实现,<SidebarProvider><Sidebar><SidebarContent>,<SidebarProvider><Sidebar><SidebarContent>,<div className="w-64 fixed">,<div className="w-64 fixed">,中等 | Medium,https://ui.shadcn.com/docs/components/sidebar
45,侧边导航 | Sidebar,Wrap in SidebarProvider,包装在 SidebarProvider,Use SidebarProvider for sidebar state management,侧边栏状态管理使用 SidebarProvider,SidebarProvider at layout level,布局级别使用 SidebarProvider,Sidebar without provider,Sidebar 无 provider,<SidebarProvider><Sidebar></SidebarProvider>,<SidebarProvider><Sidebar></SidebarProvider>,<Sidebar> without provider,<Sidebar> 无 provider,高 | High,https://ui.shadcn.com/docs/components/sidebar
46,侧边导航 | Sidebar,Use SidebarTrigger,使用 SidebarTrigger,Include SidebarTrigger for mobile toggle,移动端切换包含 SidebarTrigger,SidebarTrigger for responsive toggle,响应式切换使用 SidebarTrigger,Custom toggle button,自定义切换按钮,<SidebarTrigger/>,<SidebarTrigger/>,<Button onClick={() => toggleSidebar()}>,<Button onClick={() => toggleSidebar()}>,中等 | Medium,https://ui.shadcn.com/docs/components/sidebar
47,图表 | Chart,Use Chart for data viz,数据可视化使用 Chart,Chart component with Recharts integration,Recharts 集成使用 Chart 组件,Chart component for dashboards,仪表板使用 Chart 组件,Direct Recharts without wrapper,直接使用 Recharts 无包装器,<ChartContainer config={chartConfig}>,<ChartContainer config={chartConfig}>,<ResponsiveContainer><BarChart>,<ResponsiveContainer><BarChart>,中等 | Medium,https://ui.shadcn.com/docs/components/chart
48,图表 | Chart,Define chart config,定义图表配置,Create chartConfig for consistent theming,创建 chartConfig 实现一致主题,chartConfig with color definitions,chartConfig 配合颜色定义,Inline colors in charts,图表中内联颜色,"{ desktop: { label: ""Desktop"", color: ""#2563eb"" } }","{ desktop: { label: ""Desktop"", color: ""#2563eb"" } }",<Bar fill="#2563eb"/>,<Bar fill="#2563eb"/>,中等 | Medium,https://ui.shadcn.com/docs/components/chart
49,图表 | Chart,Use ChartTooltip,使用 ChartTooltip,Apply ChartTooltip for interactive charts,交互图表使用 ChartTooltip,ChartTooltip with ChartTooltipContent,ChartTooltip 配合 ChartTooltipContent,Recharts Tooltip directly,直接使用 Recharts Tooltip,<ChartTooltip content={<ChartTooltipContent/>}/>,<ChartTooltip content={<ChartTooltipContent/>}/>,<Tooltip/> from recharts,recharts 的 <Tooltip/>,低 | Low,https://ui.shadcn.com/docs/components/chart
50,区块 | Blocks,Use blocks for scaffolding,脚手架使用区块,Start from shadcn blocks for common layouts,常见布局从 shadcn 区块开始,npx shadcn@latest add dashboard-01,npx shadcn@latest add dashboard-01,Build dashboard from scratch,从头构建仪表板,npx shadcn@latest add login-01,npx shadcn@latest add login-01,Custom login page from scratch,从头自定义登录页,中等 | Medium,https://ui.shadcn.com/blocks
51,区块 | Blocks,Customize block components,自定义区块组件,Modify copied block code to fit needs,修改复制的区块代码以适应需求,Edit block files after installation,安装后编辑区块文件,Use blocks without modification,使用区块不修改,Customize dashboard-01 layout,自定义 dashboard-01 布局,Use dashboard-01 as-is,原样使用 dashboard-01,低 | Low,https://ui.shadcn.com/blocks
52,无障碍 | A11y,Use semantic components,使用语义化组件,Shadcn components have built-in ARIA,Shadcn 组件内置 ARIA,Rely on component accessibility,依赖组件无障碍性,Override ARIA attributes,覆盖 ARIA 属性,<Button> has button role,<Button> 有 button role,<div role="button">,<div role="button">,高 | High,https://ui.shadcn.com/docs/components/button
53,无障碍 | A11y,Maintain focus management,维护焦点管理,Dialog Sheet handle focus automatically,Dialog Sheet 自动处理焦点,Let components manage focus,让组件管理焦点,Custom focus handling,自定义焦点处理,<Dialog> traps focus,<Dialog> 陷阱焦点,document.querySelector().focus(),document.querySelector().focus(),高 | High,https://ui.shadcn.com/docs/components/dialog
54,无障碍 | A11y,Provide labels,提供标签,Use FormLabel and aria-label appropriately,适当使用 FormLabel 和 aria-label,FormLabel for form inputs,表单输入使用 FormLabel,Placeholder as only label,仅占位符作为标签,<FormLabel>Email</FormLabel><Input/>,<FormLabel>Email</FormLabel><Input/>,<Input placeholder="Email"/>,<Input placeholder="Email"/>,高 | High,https://ui.shadcn.com/docs/components/form
55,性能 | Performance,Import components individually,单独导入组件,Import only needed components,仅导入需要的组件,Named imports from component files,从组件文件命名导入,Import all from index,从 index 导入全部,import { Button } from "@/components/ui/button",import { Button } from "@/components/ui/button",import { Button Card Dialog } from "@/components/ui",import { Button Card Dialog } from "@/components/ui",中等 | Medium,
56,性能 | Performance,Lazy load dialogs,懒加载对话框,Dynamic import for heavy dialog content,重型对话框内容使用动态导入,React.lazy for dialog content,对话框内容使用 React.lazy,Import all dialogs upfront,提前导入所有对话框,const HeavyContent = lazy(() => import('./Heavy')),const HeavyContent = lazy(() => import('./Heavy')),import HeavyContent from './Heavy',import HeavyContent from './Heavy',中等 | Medium,
57,自定义 | Customization,Extend variants with cva,使用 cva 扩展变体,Add new variants using class-variance-authority,使用 class-variance-authority 添加新变体,Extend buttonVariants for new styles,扩展 buttonVariants 新样式,Inline classes for variants,变体使用内联类,"variants: { size: { xl: ""h-14 px-8"" } }","variants: { size: { xl: ""h-14 px-8"" } }",className="h-14 px-8",className="h-14 px-8",中等 | Medium,https://ui.shadcn.com/docs/components/button
58,自定义 | Customization,Create custom components,创建自定义组件,Build new components following shadcn patterns,遵循 shadcn 模式构建新组件,Use cn() and cva for custom components,自定义组件使用 cn() 和 cva,Different patterns for custom,自定义使用不同模式,const Custom = ({ className }) => <div className={cn("base" className)}>,const Custom = ({ className }) => <div className={cn("base" className)}>,const Custom = ({ style }) => <div style={style}>,const Custom = ({ style }) => <div style={style}>,中等 | Medium,
59,模式 | Patterns,Use asChild for composition,组合使用 asChild,asChild prop for component composition,组件组合使用 asChild 属性,Slot pattern with asChild,插槽模式使用 asChild,Wrapper divs for composition,组合使用包装 divs,<Button asChild><Link href="/">,<Button asChild><Link href="/">,<Button><Link href="/"></Link></Button>,<Button><Link href="/"></Link></Button>,中等 | Medium,https://ui.shadcn.com/docs/components/button
60,模式 | Patterns,Combine with React Hook Form,结合 React Hook Form,Form + useForm for complete forms,完整表单使用 Form + useForm,RHF Controller with shadcn inputs,shadcn 输入使用 RHF Controller,Custom form state management,自定义表单状态管理,<FormField control={form.control} name="email">,<FormField control={form.control} name="email">,<Input value={email} onChange={(e) => setEmail(e.target.value)},<Input value={email} onChange={(e) => setEmail(e.target.value)},高 | High,https://ui.shadcn.com/docs/components/form
